DATA;ORA;OPEN;HIGH;LOW;CLOSE;N
08/10/2004;00:00;1.228;1.2433;1.228;1.2403;0
11/10/2004;00:00;1.2416;1.2422;1.237;1.238;0
12/10/2004;00:00;1.238;1.2391;1.2288;1.2323;0
13/10/2004;00:00;1.2323;1.236;1.2226;1.2339;0
14/10/2004;00:00;1.2333;1.242;1.2322;1.2379;0
15/10/2004;00:00;1.2378;1.2505;1.2348;1.2472;0
18/10/2004;00:00;1.2474;1.2534;1.2463;1.2487;0
19/10/2004;00:00;1.2487;1.2527;1.2452;1.2514;0
20/10/2004;00:00;1.2513;1.2628;1.2489;1.258;0
21/10/2004;00:00;1.2576;1.2651;1.2573;1.261;0
22/10/2004;00:00;1.2609;1.2691;1.2598;1.2687;0
25/10/2004;00:00;1.2668;1.283;1.2668;1.2808;0
26/10/2004;00:00;1.2799;1.2841;1.2727;1.2748;0
27/10/2004;00:00;1.2745;1.2813;1.2695;1.2696;0
28/10/2004;00:00;1.2694;1.2766;1.2632;1.2735;0
29/10/2004;00:00;1.2742;1.2798;1.2707;1.2782;0
01/11/2004;00:00;1.2792;1.2832;1.2718;1.275;0
02/11/2004;00:00;1.2751;1.2756;1.2665;1.2734;0
03/11/2004;00:00;1.2741;1.283;1.2657;1.2821;0
04/11/2004;00:00;1.2816;1.2897;1.2791;1.2871;0
05/11/2004;00:00;1.2869;1.2972;1.2762;1.296;0
08/11/2004;00:00;1.2961;1.2992;1.2907;1.2917;0
09/11/2004;00:00;1.2922;1.2939;1.2883;1.2897;0
10/11/2004;00:00;1.2898;1.3005;1.2849;1.2886;0
11/11/2004;00:00;1.2889;1.2918;1.2858;1.29;0
12/11/2004;00:00;1.2904;1.2988;1.2875;1.297;0
15/11/2004;00:00;1.2967;1.2999;1.2918;1.2943;0
16/11/2004;00:00;1.2951;1.2995;1.292;1.2951;0
17/11/2004;00:00;1.2956;1.3048;1.2953;1.3029;0
18/11/2004;00:00;1.3033;1.3075;1.2941;1.2958;0
19/11/2004;00:00;1.2958;1.3068;1.2939;1.3025;0
22/11/2004;00:00;1.3025;1.3052;1.3006;1.3045;0
23/11/2004;00:00;1.3048;1.3105;1.2977;1.3083;0
24/11/2004;00:00;1.3084;1.3188;1.3081;1.3187;0
25/11/2004;00:00;1.3185;1.3248;1.3164;1.3239;0
26/11/2004;00:00;1.327;1.3329;1.3185;1.3288;0
29/11/2004;00:00;1.3295;1.3304;1.323;1.3273;0
30/11/2004;00:00;1.3274;1.3334;1.3232;1.3278;0
01/12/2004;00:00;1.3281;1.3361;1.3277;1.3345;0
02/12/2004;00:00;1.3341;1.3384;1.3238;1.3263;0
03/12/2004;00:00;1.327;1.3462;1.3256;1.3456;0
06/12/2004;00:00;1.3449;1.346;1.3391;1.3403;0
07/12/2004;00:00;1.3406;1.3469;1.3391;1.342;0
08/12/2004;00:00;1.3414;1.3441;1.3193;1.3333;0
09/12/2004;00:00;1.3333;1.3363;1.3252;1.3314;0
10/12/2004;00:00;1.3309;1.3317;1.3141;1.3222;0
13/12/2004;00:00;1.3225;1.3328;1.319;1.331;0
14/12/2004;00:00;1.3307;1.3336;1.3261;1.3302;0
15/12/2004;00:00;1.3291;1.3443;1.3262;1.3394;0
16/12/2004;00:00;1.3392;1.3429;1.3204;1.3238;0
17/12/2004;00:00;1.3238;1.3316;1.3228;1.3306;0
20/12/2004;00:00;1.3305;1.3408;1.3299;1.3389;0
21/12/2004;00:00;1.3395;1.341;1.3353;1.3367;0
22/12/2004;00:00;1.3371;1.3405;1.3345;1.3387;0
23/12/2004;00:00;1.3388;1.3517;1.3383;1.3507;0
